Region-String,Group-String,RestaurantID-Integer,RestaurantName-String,City-String,Zip-Integer,State-String,Latitude-Double,Longitude-Double,Timezone-Integer,DaylightSavings-Integer,GeoPoint-String,UseRow-String,Owner-String,Capacity-Integer,Type-String,PicturePath-String,Createdate-String,IsActive-String,IsUpdated-String
Region-0,Group-4,23,HOT BAGELS,Needmore,17238,PA,39.847933,-78.12821,-7,1,"39.847933,-78.12821",Yes,Yasir Strickland,92,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,24,LORENZO & MARIA'S KITCHEN,Hegins,17938,PA,40.658667,-76.4814,9,1,"40.658667,-76.4814",Yes,Joshua Hayden,33,Indian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-2,25,BERKELEY,Solebury,18638,PA,40.384588,-75.058245,9,1,"40.384588,-75.058245",Yes,Clark Walker,72,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,26,NEW GOLDEN BILLION,Philadelphia,19194,PA,40.001811,-75.11787,9,1,"40.001811,-75.11787",Yes,Josiah Cochran,46,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,27,DOMINO'S,Washington,20007,DC,38.913961,-77.07179,9,1,"38.913961,-77.07179",Yes,Gavin Woods,90,American,c:\owner\,3/31/2020,FALSE,
Region-0,Group-1,28,AUNTIE ANNE'S PRETZELS,Washington,20526,DC,38.902217,-77.043738,9,1,"38.902217,-77.043738",Yes,Cain Dickerson,84,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,29,SPOONBREAD TOO,Ellicott City,21043,MD,39.254356,-76.8006,9,1,"39.254356,-76.8006",No,Connor Bowman,77,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,30,KOSHER BAGEL HOLE,Sharpsburg,21782,MD,39.454582,-77.75052,9,1,"39.454582,-77.75052",Yes,Zahir Salazar,67,Mexican,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,31,PLAZA BAGELS & DELI,Hume,22639,VA,38.814086,-78.01898,9,1,"38.814086,-78.01898",Yes,Mason Patterson,24,African,c:\owner\,3/31/2020,FALSE,
Region-0,Group-1,32,HAPPY GARDEN,Richmond,23276,VA,37.524246,-77.493157,9,1,"37.524246,-77.493157",Yes,Darius Blake,39,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,33,B & M HOT BAGEL & GROCERY,Roanoke,24012,VA,37.305769,-79.92767,9,1,"37.305769,-79.92767",Yes,Malachi Mayo,64,Asian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,34,PHILADELPHIA GRILLE EXPRESS,Evington,24550,VA,37.237928,-79.28268,9,1,"37.237928,-79.28268",Yes,Gil Berger,60,Italian,c:\owner\,3/31/2020,FALSE,
Region-0,Group-4,35,PETER LUGER STEAKHOUSE,Pond Gap,25160,WV,38.317053,-81.29336,9,1,"38.317053,-81.29336",Yes,Emmanuel Mccarthy,69,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,36,METROPOLITAN CLUB,Ghent,25843,WV,37.618115,-81.10724,9,1,"37.618115,-81.10724",Yes,Sylvester Atkins,77,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,37,21 CLUB,Barrackville,26559,WV,39.5017,-80.1664,9,1,"39.5017,-80.1664",Yes,Cain James,27,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,38,MANHEM CLUB,Greensboro,27438,NC,36.080707,-80.0244,9,1,"36.080707,-80.0244",Yes,Phillip Pickett,58,American,c:\owner\,3/31/2020,FALSE,
Region-0,Group-4,39,ISLE OF CAPRI RESTURANT,Windsor,27983,NC,36.015391,-76.9349,-5,1,"36.015391,-76.9349",No,Rogan Kirkland,83,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,40,OLD TOWN BAR & RESTAURANT,Clarkton,28433,NC,34.491177,-78.64362,-5,1,"34.491177,-78.64362",Yes,Marsden Shannon,92,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,41,POLISH NATIONAL HOME,Asheville,28806,NC,35.575877,-82.6062,-5,1,"35.575877,-82.6062",Yes,Thane Simpson,36,Mexican,c:\owner\,3/31/2020,FALSE,
Region-0,Group-3,42,SEVILLA RESTAURANT,Florence,29505,SC,34.142119,-79.74311,-5,1,"34.142119,-79.74311",Yes,Sean Powers,54,African,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,43,CRIMINAL COURT BLDG CAFETERIA,Duluth,30029,GA,33.960353,-84.037859,20,1,"33.960353,-84.037859",Yes,Merrill Jennings,33,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,44,GOTTSCHEER HALL,Bartow,30413,GA,32.884137,-82.50969,20,1,"32.884137,-82.50969",Yes,Talon Willis,22,Asian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,45,NYAC MAIN DINING ROOM,Lilly,31051,GA,32.148624,-83.88003,20,1,"32.148624,-83.88003",Yes,Isaiah Osborn,35,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,46,7B BAR,Ocilla,31774,GA,31.586426,-83.27583,20,1,"31.586426,-83.27583",Yes,Gil Wise,68,Chinies,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,47,CAFE ATELIER (ART STUDENTS LEAGUE),Salem,32356,FL,29.900822,-83.42088,20,1,"29.900822,-83.42088",Yes,Ethan Holt,89,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,48,DONOHUE'S STEAK HOUSE,Orlando,32830,FL,28.385549,-81.505894,20,1,"28.385549,-81.505894",Yes,Akeem Nelson,95,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,49,TOUT VA BIEN,Fort Lauderdale,33332,FL,26.049367,-80.40885,20,1,"26.049367,-80.40885",No,Grant Buckner,12,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,50,JUNIOR'S,Bartow,33831,FL,27.955426,-81.951673,20,1,"27.955426,-81.951673",Yes,Rigel Briggs,71,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,51,MARCHIS RESTAURANT,Astatula,34705,FL,28.708139,-81.73307,20,1,"28.708139,-81.73307",Yes,Laith Rodriguez,81,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,52,TOWNE CAFE,Livingston,35470,AL,32.558949,-88.12485,20,1,"32.558949,-88.12485",Yes,Abdul Petty,98,American,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,53,THE GEORGIAN SUITE KITCHEN,Montgomery,36132,AL,32.233377,-86.208528,20,1,"32.233377,-86.208528",Yes,Gary Hoffman,97,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,54,OLD HOMESTEAD,Camp Hill,36850,AL,32.799998,-85.64621,20,1,"32.799998,-85.64621",Yes,Palmer Stevenson,39,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,55,NEW PARK PIZZERIA & RESTAURANT,Tellico Plains,37385,TN,35.345237,-84.27728,20,1,"35.345237,-84.27728",Yes,Dante Rutledge,62,Mexican,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,56,DOUGLASTON CLUB,Memphis,38105,TN,35.15275,-90.0356,20,1,"35.15275,-90.0356",Yes,Barrett Caldwell,91,African,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,57,RIZZO'S FINE PIZZA,New Albany,38652,MS,34.489085,-88.99973,20,1,"34.489085,-88.99973",Yes,Brady Langley,59,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,58,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,Jackson,39282,MS,32.311287,-90.397157,20,1,"32.311287,-90.397157",Yes,Daniel Warren,62,Asian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,59,WHITE HORSE TAVERN,Webster,40176,KY,37.934279,-86.34869,20,1,"37.934279,-86.34869",No,Wayne Burton,99,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,60,CRYSTAL ROOM,Hinkle,40953,KY,36.943114,-83.81984,20,1,"36.943114,-83.81984",Yes,Kato Bryant,86,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,61,LABETTI'S POST # 2159,Hardburly,41747,KY,37.300202,-83.122477,20,1,"37.300202,-83.122477",Yes,Kyle Wolfe,97,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,62,SHELL LANES,Bakerton,42711,KY,36.898169,-85.31056,20,1,"36.898169,-85.31056",Yes,Graiden Fox,45,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,63,MCSORLEY'S OLD ALE HOUSE,Alvordton,43501,OH,41.673094,-84.44711,20,1,"41.673094,-84.44711",Yes,Leo Stephenson,88,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,64,FORLINIS RESTAURANT,Vermilion,44089,OH,41.407845,-82.3648,-5,1,"41.407845,-82.3648",Yes,Troy Palmer,79,American,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,65,SOUTH SHORE SWIMMING CLUB,Smithville,44677,OH,40.865194,-81.85967,-5,1,"40.865194,-81.85967",Yes,Alexander Vasquez,32,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,66,CORNER BISTRO,Camden,45311,OH,39.629735,-84.67557,-5,1,"39.629735,-84.67557",Yes,Brady Cote,53,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,67,NOSTRAND DONUT SHOP,Maria Stein,45860,OH,40.400409,-84.51744,-5,1,"40.400409,-84.51744",Yes,Addison Barr,29,Mexican,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,68,DORRIAN'S RED HAND RESTAURANT,Goshen,46527,IN,41.597739,-85.858076,-5,0,"41.597739,-85.858076",Yes,Kelly Pruitt,20,African,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,69,LA GRENOUILLE,Hardinsburg,47125,IN,38.461255,-86.2983,-5,0,"38.461255,-86.2983",No,Emmanuel Blanchard,69,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,70,COMO PIZZA,Evansville,47708,IN,37.974642,-87.57349,-6,1,"37.974642,-87.57349",Yes,Len Nixon,93,Indian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,71,KEATS RESTAURANT,Milan,48160,MI,42.081363,-83.68414,-5,1,"42.081363,-83.68414",Yes,Theodore Carey,39,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,72,PANCHITO'S,Standish,48658,MI,43.985129,-83.93628,-5,1,"43.985129,-83.93628",Yes,Baxter Small,36,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,73,NEW CORNER,Addison,49220,MI,41.992765,-84.3329,-5,1,"41.992765,-84.3329",Yes,Samson Chaney,49,American,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,74,THE PRINCETON CLUB,Gaylord,49734,MI,45.028411,-84.612207,-5,1,"45.028411,-84.612207",Yes,Lance Howell,70,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,75,ARTURO'S,Melcher,50163,IA,41.242194,-93.173193,-6,1,"41.242194,-93.173193",Yes,Knox Pratt,65,Italian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-1,76,SPAIN RESTAURANT & BAR,Geneva,50633,IA,42.671214,-93.13215,-6,1,"42.671214,-93.13215",Yes,Elmo Anthony,100,Mexican,c:\owner\,3/31/2020,TRUE,
Region-0,Group-2,77,YANKEE TAVERN,Hamburg,51640,IA,40.622159,-95.66736,-6,1,"40.622159,-95.66736",Yes,Chester Nolan,29,African,c:\owner\,3/31/2020,TRUE,
Region-0,Group-3,78,DONUT PUB,Yarmouth,52660,IA,40.980185,-91.29172,-6,1,"40.980185,-91.29172",Yes,Hayden Avila,33,Parsian,c:\owner\,3/31/2020,TRUE,
Region-0,Group-4,79,REBEN LUNCHEONETTE,Footville,53537,WI,42.668944,-89.20998,-6,1,"42.668944,-89.20998",No,Vincent Mcconnell,46,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,80,V & T RESTAURANT,Jefferson,12093,NY,42.496939,-74.62813,-5,1,"42.496939,-74.62813",Yes,Trevor Weber,92,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,81,JAHN'S RESTAURANT,Wassaic,12592,NY,41.782781,-73.55792,-5,1,"41.782781,-73.55792",Yes,Tobias Irwin,40,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,82,J&V FAMOUS PIZZA,Parish,13131,NY,43.415157,-76.11416,-5,1,"43.415157,-76.11416",Yes,Rafael Myers,31,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,83,JOE ALLEN RESTAURANT,Castle Creek,13744,NY,42.250715,-75.91871,-5,1,"42.250715,-75.91871",Yes,Hasad Lloyd,59,American,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,84,BARBETTA RESTAURANT,Livonia,14487,NY,42.809908,-77.65301,-5,1,"42.809908,-77.65301",Yes,Valentine Hendrix,25,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,85,GARGIULO'S RESTAURANT,East McKeesport,15035,PA,40.384223,-79.80792,-5,1,"40.384223,-79.80792",Yes,Kenneth Morales,53,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,86,PATSY'S ITALIAN RESTAURANT,Bedford,15522,PA,39.998096,-78.52204,-5,1,"39.998096,-78.52204",Yes,Otto Lawson,21,Mexican,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,87,PARKSIDE RESTAURANT,Valencia,16059,PA,40.702289,-79.93733,-5,1,"40.702289,-79.93733",Yes,Basil Carter,88,African,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,88,LAVELLE'S ADMIRAL'S CLUB,James City,16734,PA,41.619029,-78.84,-5,1,"41.619029,-78.84",Yes,Driscoll Patterson,11,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,89,NEARY'S PUB,Fawn Grove,17321,PA,39.747204,-76.44339,-5,1,"39.747204,-76.44339",No,Armando Sweeney,56,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,90,NEW YORK PIZZA SUPREMA,Bowmanstown,18030,PA,40.80116,-75.66158,-5,1,"40.80116,-75.66158",Yes,Jakeem Hester,11,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,91,MEE SUM CAFE,Hallstead,18822,PA,41.951797,-75.77536,-5,1,"41.951797,-75.77536",Yes,Odysseus Stout,50,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,92,NANCY'S RESTAURANT,West Chester,19380,PA,39.983108,-75.59332,-5,1,"39.983108,-75.59332",Yes,Caldwell Carrillo,13,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,93,HOP KEE RESTAURANT,Washington,20068,DC,38.893311,-77.014647,-5,1,"38.893311,-77.014647",Yes,Hashim Hull,84,American,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,94,NANCY WHISKEY PUB,Washington,20597,DC,38.893311,-77.014647,-5,1,"38.893311,-77.014647",Yes,Jin Norton,77,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,95,BLARNEY BAR,Randallstown,21133,MD,39.376372,-76.79916,-5,1,"39.376372,-76.79916",Yes,Elliott Blackburn,95,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,96,MARGHERITA PIZZA,Upper Fairmount,21867,MD,38.111688,-75.79242,-5,1,"38.111688,-75.79242",Yes,Keith Valdez,72,Mexican,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,97,HEALY'S PUB,Stevensburg,22741,VA,38.442247,-77.8962,-5,1,"38.442247,-77.8962",Yes,Oliver Jacobson,97,African,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,98,FIFTH AVENUE BINGO,Exmore,23380,VA,37.529341,-75.816851,-5,1,"37.529341,-75.816851",Yes,Kasper Perez,29,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,99,DENINO'S PIZZERIA TAVERN,Christiansburg,24073,VA,37.136013,-80.41222,-5,1,"37.136013,-80.41222",No,Kelly Hernandez,59,Asian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,100,MICHAEL'S RESTAURANT,Jewell Ridge,24622,VA,37.214471,-81.78967,-5,1,"37.214471,-81.78967",Yes,Gary Hampton,95,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,101,LENIHAN'S SALOON,New Haven,25265,WV,38.988059,-81.96731,-5,1,"38.988059,-81.96731",Yes,Emi Hampton,28,Chinies,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,102,KILLARNEY ROSE,Stanaford,25927,WV,37.748935,-81.224458,-5,1,"37.748935,-81.224458",Yes,Rebecca Barrera,149,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,103,DON PEPPE,Keslers Cross Lanes,26675,WV,38.318389,-80.834152,-5,1,"38.318389,-80.834152",Yes,Clementine Wall,97,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,104,BLARNEY CASTLE,Mamers,27552,NC,35.413579,-78.979964,-5,1,"35.413579,-78.979964",Yes,TaShya Wooten,166,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,105,THREE STAR RESTAURANT,Iron Station,28080,NC,35.454565,-81.12368,-5,1,"35.454565,-81.12368",Yes,Isabelle Ferguson,83,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,106,DANGERFIELD'S NIGHT CLUB,Ayden,28513,NC,35.463012,-77.4161,-5,1,"35.463012,-77.4161",Yes,Shellie Santos,108,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,107,DESMOND'S TAVERN,Gaston,29053,SC,33.830405,-81.09219,-5,1,"33.830405,-81.09219",Yes,Ayanna Lara,98,American,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,108,NAOMI KOSHER PIZZA,Nesmith,29580,SC,33.653454,-79.56773,-5,1,"33.653454,-79.56773",Yes,Angela Pena,127,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,109,ROLL-N-ROASTER,Stone Mountain,30086,GA,33.891251,-84.07456,-5,1,"33.891251,-84.07456",Yes,Carolyn Moore,197,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,110,TIO PEPE,Gainesville,30504,GA,34.274355,-83.87003,-5,1,"34.274355,-83.87003",Yes,Ursa Edwards,124,Mexican,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,111,BRENNAN & CARR,Atlanta,31141,GA,33.891251,-84.07456,-5,1,"33.891251,-84.07456",Yes,Indira Dalton,73,African,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,112,THE PUNCH BOWL,Weston,31832,GA,31.973541,-84.62522,-5,1,"31.973541,-84.62522",Yes,Chantale Macias,195,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,113,JARDIN DE CHINA REST,Kinard,32449,FL,30.283088,-85.21892,-6,1,"30.283088,-85.21892",Yes,Carolyn Mosley,170,Asian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,114,IRISH COTTAGE,Cocoa,32924,FL,28.306726,-80.686159,-5,1,"28.306726,-80.686159",Yes,Martina Shaffer,104,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,115,BLARNEY STONE,Boca Raton,33434,FL,26.382408,-80.16699,-5,1,"26.382408,-80.16699",Yes,April Atkins,137,Chinies,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,116,SHIMONS KOSHER PIZZA,Fort Myers,33901,FL,26.62365,-81.8727,-5,1,"26.62365,-81.8727",Yes,Sopoline Doyle,135,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,117,FASCATI'S PIZZERIA,Fort Pierce,34949,FL,27.472857,-80.29901,-5,1,"27.472857,-80.29901",Yes,Willa Graves,101,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,118,BABY BO'S CANTINA,Parrish,35580,AL,33.701484,-87.27103,-6,1,"33.701484,-87.27103",Yes,Quinn Contreras,196,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,119,LI GRECI'S STAATEN RESTAURANT,Abbeville,36310,AL,31.599256,-85.2094,-6,1,"31.599256,-85.2094",Yes,Laurel Lynch,124,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,120,SHUN LEE PALACE RESTAURANT,Bethpage,37022,TN,36.501049,-86.3,-6,1,"36.501049,-86.3",Yes,Quail Sharpe,119,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,121,TAMAQUA,Erwin,37650,TN,36.128301,-82.4273,-5,1,"36.128301,-82.4273",Yes,Britanni Simon,190,American,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,122,CARA MIA,Memphis,38167,TN,35.201738,-89.971538,-6,1,"35.201738,-89.971538",Yes,Sandra Carroll,193,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,123,IHOP,Indianola,38751,MS,33.45139,-90.65824,-6,1,"33.45139,-90.65824",Yes,Willa Weeks,120,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,124,MALONEY'S BAR,Vossburg,39366,MS,31.931474,-88.922,-6,1,"31.931474,-88.922",Yes,Halla Thornton,157,Mexican,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,125,LA FUSTA RESTAURANT,Louisville,40269,KY,38.188962,-85.676819,-5,1,"38.188962,-85.676819",Yes,Yolanda Salas,155,African,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,126,RICHMOND COUNTY COUNTRY CLUB,Hillsboro,41049,KY,38.286314,-83.6512,-5,1,"38.286314,-83.6512",Yes,Teegan Roy,75,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,127,LITTLE BROWN JUG,Paducah,42001,KY,37.066543,-88.65687,-6,1,"37.066543,-88.65687",Yes,Nicole Delacruz,160,Asian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,128,LULU'S COFFEE SHOP,Cable,43009,OH,40.175413,-83.64579,-5,1,"40.175413,-83.64579",Yes,Anjolie Diaz,90,Parsian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-1,129,MITCHELL'S RESTAURANT,Tontogany,43565,OH,41.419152,-83.74024,-5,1,"41.419152,-83.74024",Yes,Karen Cobb,168,Chinies,c:\owner\,3/31/2020,TRUE,
Region-1,Group-2,130,FINNEGAN'S WAKE PUB,Brookpark,44142,OH,41.40035,-81.82055,-5,1,"41.40035,-81.82055",Yes,MacKensie Walls,89,Indian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-3,131,DA VINCI PIZZA,Bellville,44813,OH,40.606221,-82.52073,-5,1,"40.606221,-82.52073",Yes,Jaime Casey,105,Italian,c:\owner\,3/31/2020,TRUE,
Region-1,Group-4,132,MEXICO LINDO RESTAURANT,Sidney,45365,OH,40.284855,-84.15974,-5,1,"40.284855,-84.15974",Yes,Roary Hatfield,87,Indian,c:\owner\,3/31/2020,TRUE,
